2017-01-25 14:14:00,646 [12663170]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/2017_00_thinking_0035_communications_create_communications_table.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:14:00,813 [12663337]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 1, stdout line count = 6, messages = 1 
2017-01-25 14:14:00,815 [12663339]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/2017_00_thinking_0035_communications_create_communications_table.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:14:03,853 [12666377]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 2, stdout line count = 8, messages = 1 
2017-01-25 14:14:03,859 [12666383]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/Campaign.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:14:03,996 [12666520]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:14:03,998 [12666522]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/Campaign.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:14:06,615 [12669139]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:14:06,617 [12669141]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/2017_00_thinking_0035_communications_create_communications_table.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:14:06,783 [12669307]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 1, stdout line count = 6, messages = 1 
2017-01-25 14:14:06,785 [12669309]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/2017_00_thinking_0035_communications_create_communications_table.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:14:09,781 [12672305]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 2, stdout line count = 8, messages = 1 
2017-01-25 14:14:28,048 [12690572]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/Communication.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:14:28,191 [12690715]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:14:28,192 [12690716]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/Communication.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:14:31,109 [12693633]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:14:32,096 [12694620]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/Communication.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:14:32,234 [12694758]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:14:32,236 [12694760]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/Communication.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:14:34,900 [12697424]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:14:34,902 [12697426]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/2017_00_thinking_0035_communications_create_communications_table.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:14:35,074 [12697598]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 1, stdout line count = 6, messages = 1 
2017-01-25 14:14:35,076 [12697600]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/2017_00_thinking_0035_communications_create_communications_table.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:14:38,168 [12700692]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 2, stdout line count = 8, messages = 1 
2017-01-25 14:14:38,174 [12700698]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/Communication.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:14:38,315 [12700839]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:14:38,318 [12700842]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/Communication.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:14:41,010 [12703534]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:14:41,012 [12703536]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/2017_00_thinking_0035_communications_create_communications_table.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:14:41,179 [12703703]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 1, stdout line count = 6, messages = 1 
2017-01-25 14:14:41,181 [12703705]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/2017_00_thinking_0035_communications_create_communications_table.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:14:44,219 [12706743]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 2, stdout line count = 8, messages = 1 
2017-01-25 14:14:44,225 [12706749]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/Communication.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:14:44,371 [12706895]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:14:44,373 [12706897]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/Communication.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:14:47,051 [12709575]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:14:47,053 [12709577]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/2017_00_thinking_0035_communications_create_communications_table.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:14:47,228 [12709752]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 1, stdout line count = 6, messages = 1 
2017-01-25 14:14:47,230 [12709754]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/2017_00_thinking_0035_communications_create_communications_table.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:14:50,287 [12712811]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 2, stdout line count = 8, messages = 1 
2017-01-25 14:14:50,289 [12712813]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/Campaign.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:14:50,421 [12712945]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:14:50,423 [12712947]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/Campaign.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:14:53,358 [12715882]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:14:53,363 [12715887]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/Campaign.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:14:53,501 [12716025]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:14:53,503 [12716027]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/Campaign.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:14:56,135 [12718659]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:14:56,137 [12718661]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/Communication.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:14:56,279 [12718803]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:14:56,281 [12718805]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/Communication.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:14:59,201 [12721725]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:14:59,206 [12721730]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/Campaign.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:14:59,343 [12721867]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:14:59,345 [12721869]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/Campaign.php xml codesize,controversial,design,naming,unusedcode 
